ds,y
2018-01-01,33
2018-02-01,32
2018-03-01,32
2018-04-01,30
2018-05-01,31
2018-06-01,29
2018-07-01,32
2018-08-01,30
2018-09-01,30
2018-10-01,30
2018-11-01,33
2018-12-01,34
2019-01-01,33
2019-02-01,34
2019-03-01,31
2019-04-01,33
2019-05-01,34
2019-06-01,40
2019-07-01,37
2019-08-01,40
2019-09-01,39
2019-10-01,42
2019-11-01,40
2019-12-01,53
2020-01-01,48
2020-02-01,45
2020-03-01,47
2020-04-01,63
2020-05-01,60
2020-06-01,61
2020-07-01,56
2020-08-01,58
2020-09-01,50
2020-10-01,54
2020-11-01,65
2020-12-01,64
2021-01-01,66
2021-02-01,70
2021-03-01,64
2021-04-01,58
2021-05-01,61
2021-06-01,61
2021-07-01,63
2021-08-01,65
2021-09-01,55
2021-10-01,57
2021-11-01,60
2021-12-01,61
2022-01-01,65
2022-02-01,62
2022-03-01,59
2022-04-01,56
2022-05-01,57
2022-06-01,58
2022-07-01,66
2022-08-01,67
2022-09-01,59
2022-10-01,59
2022-11-01,63
2022-12-01,68
2023-01-01,65
2023-02-01,72
2023-03-01,60
2023-04-01,65
2023-05-01,60
2023-06-01,60
2023-07-01,74
2023-08-01,76
2023-09-01,73
2023-10-01,66
2023-11-01,74
2023-12-01,75
2024-01-01,76
2024-02-01,78
2024-03-01,74
2024-04-01,76
2024-05-01,74
2024-06-01,73
2024-07-01,73
2024-08-01,76
2024-09-01,75
2024-10-01,72
2024-11-01,84
2024-12-01,90
2025-01-01,88
2025-02-01,86
2025-03-01,79
2025-04-01,77
2025-05-01,87
2025-06-01,75
2025-07-01,86
2025-08-01,100
2025-09-01,88
2025-10-01,84
2025-11-01,91
2025-12-01,94
